state,postcode,individuals,taxable_individuals,total_taxable_income,avg_taxable_income,median_taxable_income,rank_australia,rank_state
VIC,3561,2559,2515,136605692,53382,45842,2177,576
VIC,3562,146,141,7630640,52265,46537,2235,596
VIC,3563,431,425,22216313,51546,44831,2288,614
VIC,3564,10448,10346,639215343,61181,50916,1563,385
VIC,3565,65,64,3734221,57450,46156,1844,464
VIC,3566,324,319,17213872,53129,45659,2190,580
VIC,3567,397,382,20138549,50727,40979,2336,631
VIC,3568,1663,1630,94424868,56780,47434,1899,478
VIC,3570,465,463,25431728,54692,46841,2077,534
VIC,3571,203,193,9525369,46923,40356,2482,668
VIC,3572,144,141,8750696,60769,53333,1595,395
VIC,3573,223,218,14464642,64864,50158,1306,314
VIC,3575,488,479,23530537,48218,45460,2440,654
VIC,3579,3017,2955,164101515,54392,44224,2098,544
VIC,3580,632,621,29939042,47372,41693,2468,664
VIC,3581,96,92,12096250,126003,39653,68,16
VIC,3583,102,99,5043933,49450,45408,2389,641
VIC,3584,672,665,37759325,56189,47155,1953,494
VIC,3585,7322,7249,445459759,60839,50285,1590,392
VIC,3586,362,360,22175365,61258,48218,1556,383
VIC,3588,252,248,11883227,47156,43360,2478,667
VIC,3589,198,195,10968788,55398,44024,2021,514
VIC,3590,196,192,10919733,55713,49218,1999,508
VIC,3591,111,109,6566466,59157,53916,1732,437
VIC,3594,384,379,20059270,52238,44700,2238,597
VIC,3595,350,344,16771666,47919,42352,2452,659
VIC,3596,89,88,4468571,50209,39612,2361,633
VIC,3597,292,290,16166193,55364,51349,2028,518
VIC,3599,101,99,5483399,54291,50374,2111,548
VIC,3607,81,79,5121086,63223,52618,1416,344
VIC,3608,1717,1695,104713093,60986,48894,1578,388
VIC,3610,822,803,43991880,53518,45402,2168,570
VIC,3612,894,883,47798958,53466,45110,2170,571
VIC,3614,611,600,41804916,68420,55372,1063,248
VIC,3616,3420,3381,195689863,57219,48584,1866,468
VIC,3617,97,95,4025267,41498,31933,2581,689
VIC,3618,444,440,20764128,46766,40371,2491,670
VIC,3619,73,71,3659982,50137,46078,2365,635
VIC,3620,4807,4741,258431271,53761,47191,2156,566
VIC,3621,1451,1419,75536820,52058,47575,2255,604
VIC,3622,280,270,12893763,46049,42365,2508,673
VIC,3623,510,500,25573834,50145,41089,2363,634
VIC,3624,319,311,15338237,48082,43331,2449,658
VIC,3629,5099,5052,274506913,53835,48245,2147,562
VIC,3630,17966,17767,1029143448,57283,47661,1856,466
VIC,3631,9308,9239,613533523,65915,54311,1240,296
VIC,3632,183,183,12869259,70324,57148,947,212
VIC,3633,417,410,25313764,60704,48394,1601,397
VIC,3634,1218,1188,65065906,53420,45575,2174,573
VIC,3635,348,340,15417471,44303,41123,2544,680
VIC,3636,2973,2931,166424293,55979,47847,1971,499
VIC,3637,349,337,16459819,47163,43177,2477,666
VIC,3638,1264,1237,66732490,52795,47265,2206,584
VIC,3639,303,297,13684560,45164,38713,2532,677
VIC,3640,666,642,31186813,46827,40566,2487,669
VIC,3641,698,682,41383122,59288,49800,1722,433
VIC,3644,5732,5651,303558479,52959,44735,2199,582
VIC,3646,366,363,20720260,56613,42518,1916,485
VIC,3649,293,286,16230553,55394,45618,2022,515
VIC,3658,3735,3692,241461446,64648,53786,1321,319
VIC,3659,451,441,33433571,74132,54710,743,166
VIC,3660,4314,4259,242101709,56120,47544,1958,495
VIC,3661,58,58,2954137,50933,46909,2324,624
VIC,3662,473,471,37326854,78915,82824,539,120
VIC,3663,119,119,6454125,54236,47189,2116,550
VIC,3664,735,725,47061497,64029,54369,1370,334
VIC,3665,227,217,13698544,60346,43549,1631,405
VIC,3666,2843,2798,162103220,57018,46225,1881,472
VIC,3669,806,793,41650168,51675,37571,2277,610
VIC,3670,378,371,19249054,50923,38735,2326,626
VIC,3672,6067,6011,337995607,55711,46559,2000,509
VIC,3673,1109,1090,57896283,52206,40479,2242,599
VIC,3675,1245,1228,69648264,55942,46652,1978,503
VIC,3676,130,129,9047346,69595,54437,986,225
VIC,3677,11045,10963,643445625,58257,50522,1790,449
VIC,3678,4420,4365,279516035,63239,48322,1415,343
VIC,3682,383,380,20237372,52839,49933,2204,583
VIC,3683,1072,1062,58733472,54789,49029,2071,531
VIC,3685,1946,1930,112075833,57593,50846,1833,461
VIC,3687,644,635,38815941,60273,53487,1638,410
VIC,3688,978,960,63024368,64442,53691,1340,327
VIC,3689,84,84,7553400,89921,55082,307,78
VIC,3690,21101,20921,1273237195,60340,53998,1632,406
VIC,3691,8455,8358,569537249,67361,59182,1146,269
VIC,3695,336,328,18375173,54688,45083,2078,535
